# pTt1,etat1,phit1,Et1,pTt2,etat2,phit2,Et2,pTh,etah,phih,Eh,ttmass,ttHmass,HT,dphi_tt,,HTb,tmass,Hmass
247.1,-0.215087,5.93336,304.423,239.557,-1.23937,3.45307,472.135,89.0441,-0.305809,1.39185,167.813,625.26,821.403,391.435,2.48029,,239.469,169.547,139.526
53.0464,-2.93737,5.46476,529.724,302.502,-1.28613,0.165116,613.247,65.7939,-2.58083,0.175979,451.942,430.355,565.737,1119.15,0.983544,,290.824,169.731,115.267
557.278,0.447411,5.16241,638.808,231.184,0.133806,3.94295,282.107,61.8455,-0.132164,4.43359,152.685,558.59,735.361,1624.26,1.21947,,704.423,176.327,139.358
241.936,-0.285608,5.88693,291.553,85.9183,0.796602,2.23107,212.423,85.8814,-0.767419,5.83572,164.83,473.538,614.378,830.246,2.62732,,349.084,146.847,120.528
130.101,-0.51902,2.29477,228.267,79.7873,0.349664,2.01066,191.766,58.9545,0.563523,2.20689,146.778,362.535,500.019,672.891,0.284113,,218.642,173.768,129.778
316.277,0.127396,6.14099,357.697,305.796,0.720367,5.49837,423.973,664.542,-1.34679,3.33289,1368.59,429.049,1904.91,1386.79,0.64262,,925.39,162.123,111.732
130.66,1.42805,5.08286,334.015,121.74,1.3792,2.07258,304.296,194.782,1.95024,2.68924,708.194,416.625,664.469,905.564,3.01028,,374.982,168.964,116.481
132.283,-0.986065,2.13968,256.757,286.929,0.492403,3.14031,365.332,406.314,-1.80874,0.844138,1277.98,496.147,1400.25,1203.72,1.00064,,550.782,158.522,111.617
22.7883,-1.2369,5.82325,166.842,241.491,-0.467868,4.83729,308.718,95.0361,-1.20811,1.26329,217.763,371.22,600.257,581.77,0.98596,,287.612,161.322,131.932
91.1185,-1.51859,2.92578,270.424,143.577,-2.52359,5.74681,918.593,74.7777,-1.96301,1.91647,303.067,475.971,637.937,1322.64,2.82103,,410.797,160.026,134.703
86.3514,0.76975,5.8595,176.017,209.257,1.72647,5.16255,649.268,156.068,1.77565,0.903616,491.151,434.81,680.614,624.714,0.696949,,335.296,134.769,128.891
33.2103,-3.32204,0.909567,499.126,220.399,1.12377,0.203504,408.523,232.063,-1.05429,3.29309,392.592,859.38,1219.71,499.575,0.706063,,390.268,191.705,121.14
30.8283,2.71093,5.54077,279.074,19.8582,3.82819,4.88036,498.729,137.713,1.68624,1.83912,403.724,361.194,541.169,410.771,0.660405,,293.502,153.747,123.036
41.6914,1.68435,2.07747,208.403,166.967,0.818191,0.516182,288.408,58.9993,1.61223,3.61379,202.194,386.051,559.097,404,1.56129,,262.01,172.998,131.262
409.954,0.269466,4.60344,457.098,81.0225,0.283774,1.94991,209.61,74.1491,1.09373,4.34727,169.014,557.04,687.42,1012.88,2.65354,,367.894,168.45,115.811
146.107,-0.0507212,4.83727,226.384,138.675,1.99339,0.485003,546.043,147.176,1.97129,1.23073,553.698,572.869,835.804,448.63,1.93092,,351.025,172.764,128.379
328.982,-1.01913,5.607,544.671,208.857,0.0706438,3.60147,262.036,144.79,-1.48514,4.56271,359.251,641.214,832.42,1071.2,2.00553,,518.712,176.924,126.981
256.342,-0.383855,1.7016,323.601,267.886,-0.681299,3.17315,371.384,95.3475,-0.825281,3.13487,190.71,493.196,646.338,1679.18,1.47156,,460.364,169.822,139.812
141.762,1.44035,3.61649,346.746,206.663,1.36282,0.014371,463.831,100.912,1.06314,6.05717,204.569,459.803,608.063,501.24,2.68106,,286.234,142.616,122.923
111.219,0.88686,5.84951,252.368,485.086,1.35837,4.67311,1020.74,343.22,1.26666,4.72184,669.308,587.58,765.64,1124.71,1.1764,,484.543,196.869,125.713
136.978,1.26177,2.31657,309.951,123.99,0.896677,3.06517,260.952,130.355,0.00217073,5.92933,186.758,380.77,662.439,670.49,0.748601,,319.082,166.754,133.739
49.6051,-0.0876014,0.238715,177.509,152.172,0.23057,4.58186,225.855,84.0747,-0.542108,3.87115,150.013,376.258,516.401,482.555,1.94004,,344.206,170.381,114.658
155.718,-0.221937,3.29756,234.838,93.281,0.168595,0.720481,212.451,55.3864,0.47776,5.00204,138.427,437.377,581.491,513.537,2.57708,,423.831,172.298,123.851
126.163,-2.07054,5.83893,537.687,340.732,0.109853,3.16121,569.775,280.125,2.04222,0.605722,1103.64,982.129,2123.95,891.398,2.67773,,658.993,175.8,114.034
147.581,0.542022,4.00556,231.984,39.052,1.1272,5.62616,179.345,205.267,0.960294,2.37943,329.17,356.986,606.841,596.193,1.6206,,411.582,158.07,117.688
757.744,-0.322847,0.740689,816.442,713.334,-1.20389,3.93246,1305.42,54.8401,2.16422,2.19484,275.462,1651.74,2131.89,1300.9,3.09141,,1269.4,174.488,131.741
43.0097,-2.77844,2.01327,386.867,109.927,-2.93444,4.71414,1051.11,145.092,-1.70343,0.165823,426.391,411.936,597.357,521.571,2.70087,,372.148,170.163,111.012
162.934,1.81654,0.770716,538.156,93.7408,-0.826155,1.45114,179.738,74.6253,0.560976,1.88921,158.309,543.397,693.861,838.492,0.680423,,234.664,158.407,132.471
278.27,0.47003,3.93209,344.216,198.052,-1.2123,5.99352,398.089,70.5846,-1.88865,0.0448053,267.105,676.878,891.678,873.689,2.06143,,705.742,150.484,119.99
